Time (ns),Br25 ref,Br25 IMN,Br25 EDA,EDA ref,EDA IMN,EDA EDA,IMN ref,IMN IMN,IMN EDA
68.608,24,59,45,71,29,79,107,129,84
68.736,29,57,45,56,30,84,114,130,70
68.864,25,49,43,46,26,70,116,117,79
68.992,29,66,39,80,22,87,115,120,76
69.12,19,61,33,43,23,84,112,120,78
69.248,17,72,31,49,32,66,104,124,68
69.376,22,58,37,60,27,92,113,116,51
69.504,26,59,54,47,33,91,106,122,70
69.632,16,68,45,52,31,92,108,112,66
69.76,20,74,46,62,27,101,99,118,67
69.888,18,64,36,52,35,83,107,128,75
70.016,17,56,40,50,32,81,116,125,61
70.144,19,54,40,54,33,73,98,136,85
70.272,17,68,35,52,40,88,96,132,69
70.4,23,54,44,65,32,78,108,142,62
70.528,17,58,36,73,31,65,110,126,74
70.656,23,59,40,44,32,75,111,129,75
70.784,17,69,36,52,32,79,102,122,61
70.912,20,55,40,50,34,78,105,130,80
71.04,21,49,46,45,34,80,103,117,64
71.168,18,55,43,60,34,87,100,125,90
71.296,22,54,34,61,33,65,106,116,69
71.424,19,64,38,41,26,81,103,116,71
71.552,23,44,44,47,33,71,103,113,67
71.68,24,62,53,59,39,75,113,113,75
71.808,26,65,46,55,35,69,97,126,76
71.936,18,61,30,48,31,81,106,110,69
72.064,20,58,32,49,30,86,116,123,54
72.192,31,59,43,54,34,87,97,112,70
72.32,15,46,44,53,32,89,107,104,69
72.448,21,78,31,39,20,77,104,100,77
72.576,19,59,40,40,23,73,120,116,74
72.704,26,51,38,52,29,90,107,128,68
72.832,15,50,36,51,20,74,97,120,71
72.96,27,51,36,56,26,82,131,120,51
73.088,19,57,26,45,24,83,102,116,59
73.216,19,61,39,74,30,66,121,112,76
73.344,21,39,41,44,20,64,112,120,64
73.472,16,57,30,58,33,49,103,99,59
73.6,17,58,40,46,26,71,114,95,61
73.728,21,51,35,49,22,96,85,127,66
73.856,18,54,36,50,23,76,101,95,69
73.984,18,53,38,55,33,78,103,115,74
74.112,24,53,37,46,30,68,103,126,73
74.24,14,46,42,36,20,89,101,110,62
74.368,19,60,32,50,15,76,132,120,68
74.496,21,54,36,61,24,78,98,100,80
74.624,23,58,41,59,30,81,108,100,68
74.752,20,57,40,42,15,80,105,104,66
74.88,21,51,34,51,25,88,83,133,74
75.008,16,53,34,43,22,74,99,89,68
75.136,24,57,39,58,22,71,100,115,78
75.264,17,57,35,40,27,67,108,109,66
75.392,22,47,21,49,31,70,101,107,84
75.52,20,48,30,35,20,85,92,117,56
75.648,19,55,40,60,19,87,95,103,57
75.776,17,59,37,50,25,74,96,115,68
75.904,13,52,39,60,22,73,85,101,69
76.032,18,38,29,49,37,81,100,112,83
76.16,20,55,38,45,25,69,120,106,78
76.288,15,49,36,37,16,57,77,131,72
76.416,17,49,36,60,27,86,97,102,73
76.544,30,57,28,53,18,68,90,128,77
76.672,18,52,39,44,26,90,119,111,66
76.8,24,50,44,49,30,63,105,101,61
76.928,16,40,25,36,27,79,106,96,71
77.056,21,58,18,47,25,53,99,127,73
77.184,16,47,39,51,32,74,89,105,70
77.312,17,49,29,57,35,78,102,116,57
77.44,18,43,37,24,28,66,100,113,62
77.568,14,56,40,47,24,62,107,103,54
77.696,18,43,36,53,26,78,100,101,72
77.824,14,44,32,44,21,82,95,108,58
77.952,24,48,36,49,18,77,98,132,55
78.08,18,63,31,38,26,67,110,118,80
78.208,18,48,39,45,28,62,111,113,59
78.336,21,47,42,41,29,77,121,109,66
78.464,19,48,32,33,26,83,109,111,62
78.592,28,63,18,35,15,73,91,110,75
78.72,26,46,41,44,22,83,103,97,63
78.848,18,39,24,35,22,64,106,124,68
78.976,14,51,28,34,19,69,107,91,58
79.104,18,46,41,44,17,77,92,117,73
79.232,28,54,34,39,23,68,105,120,80
79.36,21,48,31,46,21,63,96,115,71
