,Ref,,,,,APTMS,,,,
Time,100pc10int,50pc10int,50pc7int,50pc6int,10pct7int,100pct10int,50pct10int,50pct7int,50pct6int,10pct7int
180.224,19,43,62,54,59,43,59,76,51,40
180.736,34,47,45,49,45,44,42,58,52,43
181.248,27,39,55,53,68,55,35,68,51,35
181.76,25,41,61,48,49,37,58,65,59,43
182.272,30,45,50,65,49,39,47,47,49,49
182.784,26,41,50,58,64,43,45,57,50,55
183.296,33,35,51,76,58,41,55,46,54,49
183.808,36,43,54,47,61,51,60,60,53,39
184.32,30,37,57,54,68,38,39,64,53,41
184.832,25,36,61,47,65,42,61,57,59,48
185.344,25,54,54,51,57,29,48,64,49,39
185.856,34,41,44,47,55,55,43,55,51,37
186.368,28,48,49,58,63,38,47,58,55,50
186.88,29,41,54,70,43,45,46,73,46,36
187.392,28,38,52,68,54,33,45,57,55,53
187.904,22,41,56,56,56,52,58,72,55,42
188.416,25,45,48,53,61,61,47,60,69,63
188.928,22,55,61,53,43,41,55,43,56,41
189.44,22,42,37,56,62,45,46,63,50,39
189.952,26,35,54,68,47,38,51,66,47,43
190.464,30,45,46,62,48,48,51,64,66,51
190.976,24,41,53,67,53,45,45,63,54,30
191.488,28,33,39,47,58,35,43,59,53,39
192,30,41,44,64,64,51,61,70,45,50
192.512,31,40,49,53,47,30,49,72,46,31
193.024,27,25,60,65,63,39,46,68,65,43
193.536,20,52,56,55,60,46,55,64,64,42
194.048,22,40,52,59,53,35,44,64,43,47
194.56,31,39,54,53,55,44,52,70,48,33
195.072,27,44,43,57,48,41,66,72,54,42
195.584,24,43,54,64,49,51,63,75,38,37
196.096,31,44,61,55,64,41,52,57,48,33
196.608,29,40,53,51,62,38,54,69,57,48
197.12,22,38,54,64,52,50,43,64,51,36
197.632,20,40,37,58,57,59,44,52,50,43
198.144,23,47,47,50,56,51,46,62,60,32
198.656,33,47,60,57,64,33,48,63,57,42
199.168,22,22,64,54,75,43,43,64,46,35
199.68,16,41,40,47,61,49,58,60,46,51
200.192,20,50,59,56,60,36,47,51,54,33
200.704,24,32,43,59,52,51,54,69,51,35
201.216,25,32,53,68,65,45,58,60,45,30
201.728,28,48,44,60,57,56,50,78,49,34
202.24,27,38,43,53,54,39,64,65,45,32
202.752,21,41,54,60,53,48,63,54,65,49
