#PicoHarp 300  Histogram Data			04/24/2023 03:02:16 PM
#channels per curve
19141
#display curve no.
0	1	2	3	4	
#memory block no.
0	1	2	3	4	
#ns/channel
0.5120	0.5120	0.5120	0.5120	0.5120	
#counts
40	41	46	46	36	
31	31	56	40	39	
27	39	35	46	31	
29	36	47	45	36	
28	30	49	42	35	
24	31	48	42	36	
25	23	52	44	37	
26	35	42	52	40	
28	27	51	42	32	
25	34	46	41	31	
25	20	43	46	43	
31	33	35	44	35	
21	29	44	57	52	
27	35	45	44	26	
35	31	52	39	39	
33	36	28	41	27	
25	36	47	49	38	
35	35	60	40	33	
30	41	43	43	50	
40	41	45	50	29	
25	35	47	58	34	
23	21	49	50	32	
25	34	52	53	46	
31	33	50	39	34	
18	26	42	44	35	
20	38	48	50	34	
36	28	45	45	45	
30	35	43	59	25	
23	32	55	41	46	
19	42	50	53	33	
23	29	47	47	37	
27	37	53	43	46	
26	38	51	37	31	
23	30	35	48	28	
25	32	42	42	50	
25	27	44	53	37	
30	29	50	38	46	
33	37	44	55	30	
21	39	44	33	28	
22	28	49	57	31	
24	39	47	37	35	
21	32	44	73	39	
25	43	54	40	32	
27	35	47	37	28	
24	32	48	38	35	
33	34	43	40	45	
28	33	50	55	35	
29	30	58	37	30	
24	23	46	40	35	
29	35	31	53	41	
28	37	56	47	41	
27	29	53	62	41	
28	31	50	43	37	
24	33	55	48	25	
27	27	50	36	38	
21	40	42	44	28	
40	28	43	43	36	
22	29	39	55	41	
17	27	60	44	44	
28	25	49	39	40	
27	20	50	49	35	
25	35	48	58	33	
17	29	56	52	44	
23	32	44	53	41	
29	26	47	48	31	
26	32	50	53	31	
29	35	46	44	29	
28	31	44	47	31	
32	52	45	40	30	
22	32	49	36	43	
24	25	52	39	40	
23	30	42	50	29	
32	38	50	46	34	
36	39	59	37	36	
34	39	43	47	27	
25	31	45	55	40	
24	43	41	36	33	
39	31	51	38	38	
21	30	45	42	35	
17	32	42	42	26	
28	25	44	32	36	
33	30	43	48	40	
31	34	56	62	27	
23	27	34	29	36	
20	23	45	45	34	
26	28	33	49	34	
21	33	38	41	41	
29	30	46	42	33	
31	31	40	52	28	
24	42	57	35	29	
29	53	43	47	31	
28	36	48	40	25	
25	34	49	45	41	
19	33	61	44	30	
23	25	49	49	45	
28	30	39	54	32	
18	23	55	50	38	
24	37	43	53	34	
25	33	43	57	38	
25	31	43	54	33	
33	31	42	45	37	
25	38	39	47	42	
27	27	43	32	42	
24	32	47	53	34	
29	32	40	36	45	
24	24	47	42	35	
28	29	40	44	44	
22	32	49	61	26	
25	43	36	43	27	
27	37	40	37	38	
28	35	56	37	39	
24	43	43	48	26	
29	26	51	55	31	
30	32	47	45	34	
15	27	50	46	39	
34	33	52	50	36	
25	31	51	47	29	
21	44	54	44	31	
32	32	39	41	17	
30	29	38	45	33	
21	35	56	46	42	
34	39	46	47	32	
38	29	56	47	34	
26	28	56	43	37	
38	47	43	40	29	
26	21	51	39	33	
23	36	44	42	39	
24	26	47	45	34	
22	41	46	51	36	
25	41	53	40	37	
18	35	55	33	40	
20	33	51	45	40	
21	30	37	61	33	
25	19	44	43	39	
20	23	60	55	30	
19	33	42	60	40	
32	31	50	52	23	
16	45	62	43	39	
22	32	54	40	32	
21	31	50	41	39	
34	27	38	45	34	
30	36	44	43	42	
28	31	47	45	37	
25	31	59	42	29	
23	33	57	46	39	
21	40	43	46	37	
25	32	59	61	28	
23	29	64	34	40	
31	27	48	43	37	
19	36	44	42	22	
24	36	58	39	40	
28	39	52	41	38	
19	37	36	49	32	
22	30	42	25	38	
26	32	43	37	36	
28	30	45	45	37	
21	29	43	37	45	
18	37	46	50	31	
21	35	49	38	44	
