Labels	APTMethylS_Br25_1	
Type	Time Scan	
Comment		
Start	0.00	
Stop	999.511720	
Step	0.48828125	
Fixed/Offset	 	
XAxis	Time(ns)	
YAxis	Counts	

345.703130	6.40000000E+1	
346.191410	5.70000000E+1	
346.679690	5.20000000E+1	
347.16800	6.40000000E+1	
347.656250	6.20000000E+1	
348.144530	7.00000000E+1	
348.632810	7.60000000E+1	
349.121090	7.80000000E+1	
349.609380	6.70000000E+1	
350.097660	8.00000000E+1	
350.585940	6.80000000E+1	
351.074220	6.60000000E+1	
351.562500	6.00000000E+1	
352.050780	6.70000000E+1	
352.539060	5.20000000E+1	
353.027340	4.30000000E+1	
353.515630	6.60000000E+1	
354.003910	5.90000000E+1	
354.492190	6.30000000E+1	
354.980470	7.50000000E+1	
355.468750	6.20000000E+1	
355.95700	7.50000000E+1	
356.445310	6.90000000E+1	
356.933590	5.70000000E+1	
357.421880	5.50000000E+1	
357.910160	5.70000000E+1	
358.398440	6.00000000E+1	
358.886720	4.90000000E+1	
359.37500	6.20000000E+1	
359.863280	7.60000000E+1	
360.351560	6.20000000E+1	
360.839840	6.90000000E+1	
361.328130	5.70000000E+1	
361.816410	8.00000000E+1	
362.304690	7.00000000E+1	
362.79300	6.70000000E+1	
363.281250	5.30000000E+1	
363.769530	6.30000000E+1	
364.257810	5.90000000E+1	
364.746090	5.00000000E+1	
365.234380	6.00000000E+1	
365.722660	5.70000000E+1	
366.210940	5.50000000E+1	
366.699220	6.10000000E+1	
367.187500	6.60000000E+1	
367.675780	4.40000000E+1	
368.164060	6.40000000E+1	
368.652340	6.20000000E+1	
369.140630	6.10000000E+1	
369.628910	5.40000000E+1	
370.117190	6.20000000E+1	
370.605470	5.80000000E+1	
371.093750	7.00000000E+1	
371.58200	6.80000000E+1	
372.070310	7.40000000E+1	
372.558590	5.60000000E+1	
373.046880	7.80000000E+1	
373.535160	6.50000000E+1	
374.023440	4.90000000E+1	
374.511720	5.60000000E+1	
375.00	5.80000000E+1	
375.488280	6.10000000E+1	
375.976560	6.80000000E+1	
376.464840	6.30000000E+1	
376.953130	6.60000000E+1	
377.441410	6.80000000E+1	
377.929690	5.70000000E+1	
378.41800	6.00000000E+1	
378.906250	7.40000000E+1	
379.394530	5.40000000E+1	
379.882810	5.90000000E+1	
380.371090	6.30000000E+1	
380.859380	4.70000000E+1	
381.347660	5.00000000E+1	
381.835940	6.50000000E+1	
382.324220	4.80000000E+1	
382.812500	6.20000000E+1	
383.300780	4.50000000E+1	
383.789060	5.60000000E+1	
384.277340	6.80000000E+1	
384.765630	5.60000000E+1	
385.253910	7.60000000E+1	
385.742190	7.10000000E+1	
386.230470	6.00000000E+1	
386.718750	6.10000000E+1	
387.20700	5.70000000E+1	
387.695310	6.80000000E+1	
388.183590	5.00000000E+1	
388.671880	6.30000000E+1	
389.160160	5.70000000E+1	
389.648440	4.50000000E+1	
390.136720	6.10000000E+1	
390.62500	5.30000000E+1	
391.113280	5.40000000E+1	
391.601560	5.10000000E+1	
392.089840	5.80000000E+1	
392.578130	6.50000000E+1	
393.066410	7.10000000E+1	
393.554690	6.80000000E+1	
394.04300	6.40000000E+1	
394.531250	7.20000000E+1	
395.019530	7.20000000E+1	
395.507810	4.30000000E+1	
395.996090	6.00000000E+1	
396.484380	6.30000000E+1	
396.972660	6.20000000E+1	
397.460940	5.10000000E+1	
397.949220	6.90000000E+1	
398.437500	5.90000000E+1	
398.925780	6.70000000E+1	
399.414060	6.10000000E+1	
399.902340	6.00000000E+1	
400.390630	8.10000000E+1	
400.878910	6.60000000E+1	
