Time (ns),Br25 Air 100pc,Br25 Air 50pc,Br25 Air 50pct7int,Br25 Glass 100pc,Br25 Glass 50pc,Br25 Glass 50pct7int,AlO Air 100pc,AlO Air 50pc,AlO Air 50pct7int,AlO Glass 100pc,AlO Glass 50pc,AlO Glass 50pct7int,Me4 Air 100pc,Me4 Air 50pc,Me4 Air 50pct7int,Me4 Glass 100pc,Me4 Glass 50pc,Me4 Glass 50pct7int
21.504,56,54,29,62,65,71,48,51,47,67,53,46,47,43,33,67,39,52
21.632,60,64,41,57,64,70,48,51,40,65,57,50,42,48,31,53,42,34
21.76,57,47,41,47,73,52,61,52,49,58,49,40,42,30,34,60,43,45
21.888,63,62,38,52,62,69,46,53,33,59,60,40,41,34,43,61,61,50
22.016,57,65,42,83,54,55,47,52,39,51,41,45,41,32,30,56,49,60
22.144,63,57,41,65,54,72,42,57,40,67,55,37,50,31,33,59,52,43
22.272,59,51,43,80,57,56,57,50,38,57,55,42,35,45,24,45,66,48
22.4,66,57,26,43,51,69,61,39,46,67,28,38,43,38,39,68,62,37
22.528,70,61,43,62,82,57,58,45,34,72,45,28,50,39,27,46,46,44
22.656,79,53,46,70,50,57,45,62,33,51,46,39,49,33,35,62,36,48
22.784,66,56,38,70,53,64,46,48,35,58,51,43,52,45,38,62,47,35
22.912,55,49,39,60,61,54,62,46,39,53,62,32,43,36,24,53,55,44
23.04,65,42,41,61,60,61,56,39,34,69,45,42,53,39,26,59,49,51
23.168,66,49,43,78,63,72,53,52,22,55,50,37,54,28,37,54,38,49
23.296,51,63,35,59,70,70,60,53,40,53,55,28,50,41,37,56,42,44
23.424,74,53,36,50,64,51,58,44,34,58,47,30,47,42,39,42,47,49
23.552,57,51,38,56,60,62,39,47,39,70,58,32,52,27,28,52,45,57
23.68,67,48,34,61,68,68,60,44,42,46,46,29,34,35,37,43,38,46
23.808,61,45,32,69,75,54,50,40,33,68,48,43,43,32,31,43,45,39
23.936,44,52,42,57,69,72,50,49,49,52,59,39,39,51,43,65,45,29
24.064,65,53,23,72,46,48,48,44,47,49,42,29,38,41,25,53,50,48
24.192,60,52,35,59,71,63,56,50,40,55,57,29,53,29,29,47,47,45
24.32,65,61,41,68,62,65,42,51,40,56,45,36,33,37,33,66,45,39
24.448,55,43,35,54,68,63,58,58,30,49,48,34,55,31,41,62,43,51
24.576,49,60,39,67,64,75,56,45,30,55,56,33,39,41,32,44,33,40
24.704,59,58,31,52,63,74,53,47,43,50,50,46,39,43,26,54,39,41
24.832,56,62,34,55,58,63,59,58,24,58,44,32,49,26,30,57,40,44
24.96,55,56,44,65,68,65,37,44,52,65,50,39,40,32,27,51,54,29
25.088,63,58,29,74,69,69,50,40,34,46,56,37,46,29,36,41,41,54
25.216,54,39,37,47,66,49,61,46,41,42,51,44,60,27,32,46,48,47
25.344,45,58,37,63,44,57,56,44,45,55,59,46,42,32,21,43,54,41
